"","gene","pLI"
"1044","GLYR1",0.99973
"1045","CLIP2",0.99997
"1046","PDS5A",1
"1047","PIK3CD",0.99999
"1048","ROCK1",1
"1049","SALL1",0.99971
"1050","ATXN7L3",0.99892
"1051","FGD1",0.9997
"1052","LINGO1",0.99413
"1053","TNFAIP3",0.99972
"1054","NUFIP2",0.99891
"1055","RIC8B",0.99892
"1056","IL1RAPL1",0.99886
"1057","POU2F2",0.99884
"1058","COPS4",0.99886
"1059","DNAJC13",1
"1060","XRN1",1
"1061","ANKRD12",1
"1062","PACSIN1",0.99887
"1063","RAPGEF2",1
"1064","ETS2",0.99888
"1065","HCFC2",0.99989
"1066","PAIP1",0.99884
"1067","LAMC1",1
"1068","SSBP3",0.99968
"1069","NEDD4L",1
"1070","KIAA0368",1
"1071","PDGFC",0.99374
"1072","KIAA2022",0.99968
"1073","IPO13",0.99998
"1074","PSMA5",0.99376
"1075","YY1",0.9938
"1076","ASXL3",1
"1077","PA2G4",0.99876
"1078","DLGAP2",0.99989
"1079","MPPED2",0.99349
"1080","CPSF7",0.99873
"1081","VCAN",1
"1082","PAX8",0.99869
"1083","PRKCE",0.99988
"1084","KCTD16",0.99329
"1085","KIF4A",0.99998
"1086","DAB2IP",0.99995
"1087","SIPA1L3",1
"1088","TOX",0.99869
"1089","NTNG2",0.99866
"1090","CLASP2",1
"1091","HERC2",1
"1092","DCAF8",0.9996
"1093","STIP1",0.99987
"1094","ACIN1",1
"1095","HSPA8",0.99863
"1096","RPL6",0.99326
"1097","SETDB1",1
"1098","NFIA",0.99959
"1099","RNF220",0.99958
"1100","JPH3",0.99855
"1101","CACNA1I",1
"1102","RFWD2",0.99994
"1103","STAT5A",0.99994
"1104","GATAD2A",0.99957
"1105","COL1A2",1
"1106","DMXL1",1
"1107","AP1G1",0.99998
"1108","OSBPL6",0.99999
"1109","USP19",0.99999
"1110","SMARCA2",1
"1111","ARHGAP21",1
"1112","CAMSAP2",0.99999
"1113","PHF1",0.99956
"1114","PRKCG",0.99985
"1115","KIAA1244",1
"1116","PDZD8",0.99984
"1117","BTBD11",0.99993
"1118","UNC5A",0.99983
"1119","CTDSP1",0.99254
"1120","CELF5",0.99844
"1121","RBM14",0.99843
